ID,title,authors,year,publisher,subject
4811,The Dive from Clausen's Pier,Ann Packer,2003,St. Martin's Paperbacks,Fiction
5348,The Magician's Assistant,Ann Patchett,1998,Touchstone,Fantasy fiction
5571,The Patron Saint of Liars,Ann Patchett,2003,Ullstein Tb,Catholic women
43,A break with charity,Ann Rinaldi,2005,Avon,Trials (Witchcraft)
2257,In the Name of Love,Ann Rule,1998,Del Rey Books,Literary Criticism
5942,The Stranger Beside Me,Ann Rule,2001,Vintage Books USA,True Crime
2032,Her Little Secret,Anna Adams,2005,Scholastic,Fiction
2587,Letters to a Young Artist,Anna Deavere Smith,2006,Pub Group West,Business & Economics
2135,How to Seduce Your Dream Man,Anna Maxted,1999,Avon,Man-woman relationships
665,Black and Blue,Anna Quindlen,2000,Clearbridge Publishing,Fiction
666,Black Beauty,Anna Sewell,2004,Perigee Books,Juvenile Fiction
667,Black Beauty Coloring Book,Anna Sewell;John Green,1996,Warner Books,Juvenile Nonfiction
3789,Selections from the Oakland Tribune Archives,Annalee Allen,2006,Penguin USA,History
302,Agnes Grey,Anne Brontë,2001,HarperTorch,England
3679,Rumer Godden,Anne Chisholm,1999,Warner Books,British
4798,The Diary of Anne Frank,Anne Frank,2003,Berkley Publishing Group,History
707,Blink-182,Anne Hoppus,2001,A. Mondadori,Rock groups
2820,Mary Shelley,Anne Kostelanetz Mellor,1988,Perennial,Biography & Autobiography
1886,Grace (eventually),Anne Lamott,2007,Wordsworth Editions Ltd,Religion
3268,Operating Instructions,Anne Lamott,2005,Avon Books,Family & Relationships
3410,Plan B,Anne Lamott,2006,Roc,Biography & Autobiography
6369,Traveling Mercies,Anne Lamott,2000,Basic Books,Biography & Autobiography
1529,Every cloud has a silver lining,Anne Mazer,2001,Simon Pulse,Diaries
5575,The Pen is Mightier Than the Sword,Anne Mazer,2001,Harpercollins,Juvenile Fiction
6035,The Trouble with Violet,Anne Mazer,2007,Leisure Books,Juvenile Fiction
6517,Violet Makes a Splash,Anne Mazer,2007,Kensington Publishing Corporation,Juvenile Fiction
1357,Dragondrums,Anne McCaffrey,2003,Delacorte Press,Juvenile Fiction
1366,Dragonsinger,Anne McCaffrey,2003,Penguin Books,Juvenile Fiction
1031,Coming of Age in Mississippi,Anne Moody,1968,Tor Books,Biography & Autobiography
1558,Exit to Eden,Anne Rampling;Anne Rice,1998,Ballantine Books,Photographers
689,Blackwood Farm,Anne Rice,2003,Perennial,Horror
709,Blood and Gold,Anne Rice,2002,St. Martin's Press,Fiction
710,Blood Canticle,Anne Rice,2004,Ballantine Books,Horror tales
1121,Cry to Heaven,Anne Rice,1995,Penguin USA,Fiction
2526,Lasher,Anne Rice,2004,Doubleday Books,Demonology
2880,Merrick,Anne Rice,2001,Dell Publishing Company,FICTION
5440,The Mummy,Anne Rice,2004,Scholastic,Egyptologists
5685,The Queen of the Damned,Anne Rice,1997,Simon Schuster Trade,Fiction
5973,The Tale of the Body Thief,Anne Rice,1997,HarperEntertainment,Fiction
6081,The Vampire Chronicles Collection,Anne Rice,2002,Dell Publishing Company,Fiction
6083,The Vampire Lestat,Anne Rice,2004,Prentice Hall,Fiction
677,Black Ice,Anne Stuart,2005,Penguin Books,Fiction
1005,Cold as Ice,Anne Stuart,2006,HarperTorch,Fiction
2196,Ice Blue,Anne Stuart,2007,Faber Faber Inc,Fiction
3479,Prince of Magic,Anne Stuart,1998,Pub Group West,Fiction
3635,Ritual Sins,Anne Stuart,1997,Houghton Mifflin College,Fiction
3827,Shadow Lover,Anne Stuart,1999,Upfront Publishing,Fiction
3839,Shadows at Sunset,Anne Stuart,2000,Pocket,Fiction
6321,To Love a Dark Lord,Anne Stuart,1994,Vintage Books USA,Fiction
174,A Patchwork Planet,Anne Tyler,2001,John Wiley &amp; Sons,Fiction
209,A Slipping-down Life,Anne Tyler,1970,Penguin Books Ltd,Fiction
4300,The Amateur Marriage,Anne Tyler,2006,Avon,Fiction
6006,The Tin Can Tree,Anne Tyler,1996,Pan Publishing,Fiction
372,An American Childhood,Annie Dillard,1988,Avon,Biography & Autobiography
2082,Holy the Firm,Annie Dillard,1988,Ballantine Books,Literary Criticism
4214,Teaching a Stone to Talk,Annie Dillard,1988,Eos,Literary Criticism
6192,The Writing Life,Annie Dillard,1990,Columna,Literary Criticism
6253,Three by Annie Dillard,Annie Dillard,1990,Delacorte Press,Fiction
5531,The Orange Trees of Versailles,Annie Pietri,2005,Doubleday Books,Juvenile Fiction
782,Brokeback Mountain,Annie Proulx,2005,A. Mondadori,Fiction
989,Close Range,Annie Proulx,2006,Random House,Cowboys
990,Close Range,Annie Proulx,2000,Bantam Books,Fiction
1998,Heart Songs and Other Stories,Annie Proulx,1995,St. Martin's Press,Fiction
940,Cider,Annie Proulx;Lew Nichols,2003,A. Mondadori,Cooking
160,A Mistress For The Taking,Annie West,2007,A. Mondadori,Fiction
1583,Fall on Your Knees,Ann-Marie MacDonald,2002,Harvest Books,Fiction
248,A Woman in Berlin,Anonymous,2006,Grove Press,Biography & Autobiography
313,Alcoholics Anonymous,Anonymous,2002,A. Mondadori,Self-Help
1842,Go Ask Alice,Anonymous,2006,New Amer Library Classics,Young Adult Fiction
4534,The Camera,Ansel Adams,1995,Harpercollins,Photography
5474,The Negative,Ansel Adams,1995,Adelphi Book Shop Ltd,Photography
5662,The Print,Ansel Adams,1995,Delta,Photography
1863,Gone Bamboo,Anthony Bourdain,2002,Dtv,Assassins
2493,Kitchen Confidential,Anthony Bourdain,2000,Doubleday Books,Biography & Autobiography
2494,Kitchen Confidential Updated Ed,Anthony Bourdain,2007,St. Martin's Press,Biography & Autobiography
64,A Clockwork Orange,Anthony Burgess,1998,Bantam Doubleday Dell,English drama
1402,Earthly Powers,Anthony Burgess,2004,St. Martin's Paperbacks,Fiction
4814,The Doctor Is Sick,Anthony Burgess,1997,Dell Publishing Company,Fiction
6112,The Wanting Seed,Anthony Burgess,1963,Rocco,Fiction
5470,The Nature of Play,Anthony D. Pellegrini;Peter K. Smith,2005,Eos,Psychology
1803,"Get Out of My Life, But First Could You Drive Me & Cheryl to the Mall",Anthony E. Wolf,2002,Del Rey Books,Family & Relationships
4693,The Consequences of Modernity,Anthony Giddens,1990,Replica Books,Social Science
3952,Sociology,Anthony Giddens;Simon Griffiths,2006,Baen,Social Science
3105,"New Worlds, Ancient Texts",Anthony Grafton;Nancy G. Siraisi;April Shelford,1992,Penguin Books,History
6586,West Africa,Anthony Ham;James Bainbridge,2006,Delta,Travel
4530,The Cambridge Companion to Cervantes,Anthony J. Cascardi,2002,Harper Mass Market Paperbacks,Literary Criticism
2863,"Medieval Philosophy : A New History of Western Philosophy, Volume 2",Anthony Kenny,2005,Zondervan,Philosophy
1816,Gideon's Trumpet,Anthony Lewis,1989,Glowworm Books Ltd,History
6015,The Toy Maker,Anthony McReavy,2004,Morehouse Group,Biography & Autobiography
74,A Dance to the Music of Time,Anthony Powell,1995,Ballantine Books,Fiction
3119,Night Draws Near,Anthony Shadid,2006,Plume Books,History
6335,Tolstoy: Anna Karenina,Anthony Thorlby,1987,Del Rey Books,Literary Criticism
5294,The Little Prince,Antoine de Saint-Exupéry;Katherine Woods,1974,Dell Publishing Company,"Children's literature, French"
440,Anton Chekhov's Selected Plays,Anton Pavlovich Chekhov,2005,Transworld Publishers Ltd,Drama
